eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
115.84,5.78,107.11,4.21,2343,0.010998805,0.15445964,2.2637274,-0.0050624986,0.18680923,0.5143837630748749,60,15360,432.01392440125346,983040
124.32,5.83,116.23,4.35,2322,0.011106681,0.15370686,2.1367798,-0.0074616433,0.19662778,0.5016791522502899,61,15616,439.06921683996916,999424
121.65,5.47,109.73,4.19,2321,0.0082200365,0.114217125,2.2690074,-0.011902951,0.15880822,0.6520082056522369,62,15872,446.1288655027747,1015808
112.31,5.53,105.11,3.95,2269,0.00691523,0.09023031,2.3127909,-0.0100832,0.18597554,0.5536375939846039,63,16128,454.31091172248125,1032192
114.4,5.49,109.76,4.74,2333,0.006575355,0.082092285,2.3775647,-0.008934433,0.19214164,0.4938009977340698,64,16384,461.3326811045408,1048576
115.17,5.4,108.98,4.65,2345,0.0067546447,0.085876465,2.3297079,-0.010559921,0.15058017,0.606370747089386,65,16640,468.31949243322015,1064960
114.93,5.79,112.78,5.07,2321,0.0070204106,0.08896891,2.2391317,-0.0066424734,0.19432722,0.6297696828842163,66,16896,475.3764792904258,1081344
111.2,5.2,120.81,4.44,2402,0.0121982405,0.14662679,2.0514505,-0.0020570979,0.30546924,0.38879114389419556,67,17152,482.19577860832214,1097728
123.81,6.25,97.57,3.59,2334,0.008614136,0.115478516,2.1886938,-0.010348524,0.19794048,0.5529300272464752,68,17408,489.214562818408,1114112
117.86,5.39,118.71,5.47,2344,0.007955379,0.10587565,2.190553,-0.01048535,0.19993705,0.571196585893631,69,17664,496.20286333560944,1130496
120.58,5.47,123.03,5.2,2301,0.009883858,0.13301595,2.1395762,-0.0124695,0.17551486,0.5959773361682892,70,17920,503.3213792219758,1146880
125.85,6.42,108.53,4.2,2299,0.0092175165,0.1282552,2.0840063,-0.00947915,0.1735159,0.5942227840423584,71,18176,510.4482790157199,1163264
124.64,6.53,108.99,4.32,2302,0.008529216,0.11584473,2.2218053,-0.008946728,0.20334876,0.5504620671272278,72,18432,517.5655152313411,1179648
120.15,5.84,119.39,4.99,2329,0.008552312,0.116007484,2.2352505,-0.009521071,0.15728468,0.6246618926525116,73,18688,524.5992074385285,1196032
121.74,5.64,118.25,5.14,2334,0.01214002,0.16992188,2.1055186,-0.0093259765,0.17511255,0.6560424864292145,74,18944,531.6195553392172,1212416
121.96,5.76,122.67,5.74,2322,0.008578316,0.11686198,2.2586963,-0.012427378,0.17588224,0.5817200839519501,75,19200,538.6751567237079,1228800
122.27,6.19,118.35,4.64,2347,0.008251291,0.10935465,2.2050552,-0.0102183875,0.18071574,0.6271001696586609,76,19456,545.6570798233151,1245184
122.01,6.15,123.64,5.78,2336,0.008916554,0.12245687,2.1883266,-0.011348621,0.19564337,0.5718571245670319,77,19712,552.669637940824,1261568
132.69,6.46,116.01,4.76,2299,0.008528772,0.11747233,2.205152,-0.01163137,0.16390298,0.667235791683197,78,19968,559.795080665499,1277952
125.38,6.28,108.81,4.81,2274,0.00837837,0.11319987,2.20388,-0.0099345455,0.17471337,0.669703334569931,79,20224,566.998550478369,1294336
130.68,7.19,113.14,4.4,2309,0.007976175,0.10434977,2.206988,-0.011959187,0.2088595,0.5349079966545105,80,20480,574.0951910689473,1310720
118.17,5.31,107.17,4.59,2323,0.007831177,0.10233561,2.274261,-0.011235868,0.20923896,0.59488245844841,81,20736,581.14709315449,1327104
126.48,6.63,124.75,5.85,2286,0.009849815,0.13722737,2.1142793,-0.015160763,0.20120668,0.6465227901935577,82,20992,588.3119396828115,1343488
129.97,6.72,115.63,5.08,2311,0.009956897,0.13720703,2.125122,-0.010762051,0.20448428,0.6127784550189972,83,21248,595.4009833112359,1359872
122.87,6.19,115.77,4.43,2314,0.007786392,0.10211182,2.1798556,-0.012195498,0.20988578,0.6072564423084259,84,21504,602.4800082333386,1376256
118.65,5.82,110.81,4.55,2273,0.0068636965,0.0865682,2.1935298,-0.008744337,0.22733997,0.6215554475784302,85,21760,609.6874772831798,1392640
116.79,5.9,119.36,5.48,2321,0.009633984,0.13224284,2.1566966,-0.016697684,0.19241858,0.6193336844444275,86,22016,616.7476125992835,1409024
117.12,6.15,119.83,5.89,2395,0.0076286052,0.10233561,2.22799,-0.010947098,0.22272165,0.5383132994174957,87,22272,623.5881680771708,1425408
126.22,6.51,104.12,4.38,2288,0.008082683,0.110961914,2.339717,-0.013022483,0.20510705,0.5564087927341461,88,22528,630.7478888705373,1441792
120.2,6.19,105.27,4.08,2285,0.007873465,0.10758463,2.276385,-0.014908977,0.19272494,0.5854164063930511,89,22784,637.9166952334344,1458176
110.79,4.9,120.7,5.0,2351,0.007383274,0.096211754,2.1768372,-0.011780794,0.210581,0.5410216152667999,90,23040,644.8841879703104,1474560
123.09,6.34,105.87,4.96,2352,0.008174778,0.11462402,2.2585204,-0.013943764,0.20153224,0.5830477476119995,91,23296,651.8501142524183,1490944
