eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
195.25,13.91,156.57,10.38,545,0.02581838,0.25115967,1.6104541,-0.03390936,0.26273835,0.8043794631958008,483,123648,14470.76965983212,7913472
196.12,14.65,143.27,8.81,559,0.019923745,0.21901448,1.5686107,-0.029495403,0.33066395,0.7633562386035919,484,123904,14500.06923880428,7929856
202.44,14.94,142.81,8.79,561,0.023491817,0.22930908,1.5837513,-0.036164366,0.27811044,0.797829270362854,485,124160,14529.253760118037,7946240
209.28,14.85,143.65,9.03,545,0.024930082,0.25201416,1.5846448,-0.035967145,0.25974897,0.7945277243852615,486,124416,14559.314472407103,7962624
213.87,15.76,166.17,11.51,556,0.026875973,0.26064047,1.5383438,-0.031584937,0.27746013,0.7986089140176773,487,124672,14588.752545189112,7979008
208.55,16.42,148.17,9.57,543,0.024342291,0.2397461,1.5360394,-0.035570674,0.2888125,0.7710051983594894,488,124928,14618.901231095195,7995392
219.79,16.39,156.76,10.06,545,0.023469346,0.22961426,1.5457038,-0.034331102,0.26142332,0.799166351556778,489,125184,14648.937121663243,8011776
209.19,15.98,161.47,10.81,552,0.021379583,0.22410075,1.5494345,-0.031819712,0.30495858,0.777818888425827,490,125440,14678.591444861144,8028160
203.84,15.73,157.81,10.91,526,0.025313176,0.2419637,1.588699,-0.03495539,0.26167735,0.7929888963699341,491,125696,14709.707067728043,8044544
184.98,13.64,150.74,9.36,535,0.018954186,0.21681722,1.5612437,-0.027950378,0.3197119,0.7621298879384995,492,125952,14740.307262726128,8060928
176.24,13.02,149.11,9.57,547,0.025273765,0.24743652,1.5574955,-0.033868406,0.28695366,0.7895782142877579,493,126208,14770.23120571673,8077312
195.19,14.52,141.99,9.24,535,0.021697396,0.21917725,1.5177903,-0.033378463,0.29446343,0.7893794029951096,494,126464,14800.807575087994,8093696
194.72,15.09,150.84,9.79,546,0.025248058,0.24924724,1.5417614,-0.03480753,0.29003736,0.7918817549943924,495,126720,14830.767242737114,8110080
195.09,13.84,142.27,8.26,553,0.021032058,0.21913655,1.563509,-0.035964735,0.27196768,0.7700666785240173,496,126976,14860.346999082714,8126464
188.0,14.24,148.45,9.79,553,0.020378113,0.21183269,1.5581111,-0.033060983,0.28900096,0.7644824534654617,497,127232,14890.09630927816,8142848
195.2,14.3,152.41,9.91,557,0.020087471,0.22241211,1.5817693,-0.029728627,0.28000376,0.7610954195261002,498,127488,14919.489485643804,8159232
190.03,14.49,146.28,9.61,555,0.025668474,0.23781331,1.566919,-0.03207502,0.28026685,0.7716711014509201,499,127744,14949.007202584296,8175616
178.54,12.27,146.31,9.27,530,0.02133994,0.2298177,1.5654174,-0.03085664,0.2686474,0.8031781911849976,500,128000,14979.881674021482,8192000
184.0,14.1,152.22,9.94,575,0.020235727,0.21362305,1.5079454,-0.032597393,0.29987666,0.7752342075109482,501,128256,15008.3314695023,8208384
189.04,14.52,142.26,8.91,574,0.02531158,0.25219727,1.5417343,-0.036042813,0.28325093,0.7671576738357544,502,128512,15036.858298659325,8224768
195.35,15.46,146.99,9.07,556,0.024662895,0.24316406,1.5310024,-0.03039238,0.27884462,0.7966508269309998,503,128768,15066.306761197746,8241152
189.65,14.96,144.18,9.18,554,0.025790704,0.24458821,1.5409976,-0.033072103,0.29764575,0.7671498656272888,504,129024,15095.853136975318,8257536
188.3,13.75,146.71,9.35,501,0.024488637,0.25170898,1.5707949,-0.031311836,0.2908883,0.7682970464229584,505,129280,15128.493439439684,8273920
213.31,16.63,144.97,9.57,541,0.02066007,0.22178142,1.5472819,-0.034287322,0.26817635,0.7951547652482986,506,129536,15158.76983949542,8290304
197.34,15.62,126.53,7.73,529,0.02133392,0.21921794,1.5457813,-0.03236248,0.28768024,0.7660133689641953,507,129792,15189.736137535423,8306688
194.7,14.9,142.62,8.77,571,0.025290722,0.24759929,1.552595,-0.03414987,0.2673072,0.7999301999807358,508,130048,15218.42764158547,8323072
199.46,15.37,148.2,9.7,535,0.024530403,0.24182129,1.5590968,-0.034775715,0.23771109,0.8277091830968857,509,130304,15249.033307287842,8339456
203.76,16.04,140.03,8.54,560,0.026545314,0.25126138,1.5360355,-0.03484066,0.28715742,0.7925083339214325,510,130560,15278.24240738526,8355840
207.06,16.63,143.83,8.71,577,0.022331074,0.23160808,1.5262164,-0.03262607,0.2867614,0.7953872382640839,511,130816,15306.611206740141,8372224
199.48,15.02,129.26,7.54,531,0.024401201,0.22719319,1.5229745,-0.03219181,0.304594,0.8137665838003159,512,131072,15337.449347551912,8388608
