eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
151.49,1.58,105.69,0.72,981,0.0102529535,0.14337158,2.3776844,-0.023061514,0.12252614,0.677283376455307,70,17920,916.7749858908355,1146880
126.31,1.29,114.78,1.03,1834,0.010983101,0.15203857,2.3510659,-0.024065772,0.14513655,0.6491281986236572,71,18176,925.7071709372103,1163264
137.34,1.36,143.4,1.19,1871,0.010724965,0.14868164,2.3566864,-0.02343694,0.13435863,0.6501051485538483,72,18432,934.4615637771785,1179648
131.01,1.17,121.69,0.85,1875,0.01192362,0.1663208,2.3647366,-0.026143765,0.14557074,0.6024488806724548,73,18688,943.1965731456876,1196032
136.15,1.36,124.83,1.17,1830,0.011008474,0.1496582,2.3652375,-0.027223004,0.13094631,0.6503879725933075,74,18944,952.1491242460907,1212416
131.83,1.31,133.11,1.02,1893,0.00991086,0.13427734,2.3345711,-0.022061331,0.1654996,0.6163963377475739,75,19200,960.8046130686998,1228800
151.3,1.37,123.94,1.03,1810,0.012831699,0.17171223,2.3297212,-0.025834195,0.14426717,0.6058197021484375,76,19456,969.8566664047539,1245184
123.17,1.22,107.37,0.82,1777,0.011412921,0.1564738,2.3130581,-0.023679078,0.16390516,0.6451148688793182,77,19712,979.0731266662478,1261568
135.05,1.6,112.89,0.79,1017,0.011475722,0.16046143,2.3225245,-0.024024645,0.16424085,0.5888524949550629,78,19968,995.1814714036882,1277952
125.51,1.39,135.67,1.04,790,0.0096909655,0.12888591,2.2913074,-0.020167608,0.16649388,0.6662692725658417,79,20224,1015.919621385634,1294336
179.98,1.74,137.59,1.36,796,0.010255412,0.14343262,2.3339133,-0.025065904,0.13657449,0.6325409412384033,80,20480,1036.4965548291802,1310720
149.32,1.24,160.98,1.37,800,0.012646339,0.18039958,2.3313606,-0.025395127,0.13437842,0.691114068031311,81,20736,1056.9759033955634,1327104
145.78,1.32,122.7,1.09,1118,0.012891787,0.17985027,2.3156087,-0.027669542,0.13678028,0.6139706671237946,82,20992,1071.6301077976823,1343488
153.07,1.55,169.76,1.45,1856,0.012728664,0.17588298,2.302532,-0.027448097,0.15157332,0.6610622107982635,83,21248,1080.4574503190815,1359872
154.78,1.55,125.2,0.95,1906,0.011714897,0.16330974,2.3273232,-0.024538944,0.13605447,0.7298928201198578,84,21504,1089.0508321486413,1376256
140.08,1.38,135.41,1.09,1885,0.012186683,0.1651408,2.330995,-0.026877316,0.13571362,0.7254158556461334,85,21760,1097.743688866496,1392640
149.58,1.39,132.96,1.13,1861,0.011616279,0.15924072,2.338124,-0.02706206,0.11291635,0.6899027824401855,86,22016,1106.547917764634,1409024
168.7,1.58,155.11,1.31,1891,0.012850873,0.17980957,2.324464,-0.027496098,0.13285749,0.693924069404602,87,22272,1115.2098162397742,1425408
